condition,symptoms,causes,warnings,recommendations
Diabetes,"blurred vision, frequent urination, slow healing wounds, blurred vision","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Pneumonia,"chest pain, fatigue, productive cough, difficulty breathing, mild headache","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Diabetes,"fatigue, blurred vision, slow healing wounds, loss of appetite",viral infection,persistent high fever requires medical attention,consult a healthcare professional
Influenza,"chills, sore throat, fatigue, headache, mild headache",inflammation of airways,seek medical help if breathing becomes difficult,consult a healthcare professional
Diabetes,"blurred vision, slow healing wounds, frequent urination, increased thirst, fatigue, dry throat","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,consult a healthcare professional for diagnosis and treatment
Migraine,"pulsating pain, nausea, sensitivity to light, vomiting, loss of appetite","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Pneumonia,"difficulty breathing, productive cough, fever, irritability",can result from lifestyle factors or underlying health conditions,seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
COVID-19,"fever, dry cough, loss of smell, dizziness",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Dengue,"Patient reports sudden fever, joint pain, fatigue, and red rash on the skin., irritability","may be caused by infection, genetic factors, or environmental triggers",immediate medical care is required if breathing or consciousness is affected,seek medical advice if symptoms persist
Allergic Rhinitis,"Patient experiences sneezing, runny nose, nasal congestion, and itchy eyes., loss of appetite","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
Bronchitis,"persistent cough, chest discomfort, mucus production, irritability",inflammation of airways,persistent high fever requires medical attention,take prescribed medication
Tuberculosis,"Patient has a persistent cough for weeks with weight loss, night sweats, and mild fever., muscle weakness","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Allergic Rhinitis,"Runny nose with frequent sneezing, throat irritation, and watery eyes., dizziness",can result from lifestyle factors or underlying health conditions,immediate medical care is required if breathing or consciousness is affected,consult a healthcare professional for diagnosis and treatment
Arthritis,"Patient reports joint pain, stiffness, swelling, and difficulty moving the joints., body aches","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Diabetes,"fatigue, frequent urination, slow healing wounds, increased thirst, fatigue","often linked to immune response, infection, or chronic inflammation",immediate medical care is required if breathing or consciousness is affected,"maintain hydration, rest, and follow medical advice"
Allergic Rhinitis,"Persistent sneezing with watery eyes, nasal itching, and congestion., body aches","may be caused by infection, genetic factors, or environmental triggers",seek medical attention if symptoms become severe,seek medical advice if symptoms persist
COVID-19,"loss of taste, fatigue, loss of smell, dry cough, breathing difficulty, body aches","often linked to immune response, infection, or chronic inflammation",consult a doctor if symptoms persist or worsen,seek medical advice if symptoms persist
Pneumonia,"difficulty breathing, productive cough, fatigue, fever, dry throat","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Pneumonia,"fever, productive cough, fatigue, difficulty breathing, dizziness","may be caused by infection, genetic factors, or environmental triggers",consult a doctor if symptoms persist or worsen,"maintain hydration, rest, and follow medical advice"
Malaria,"Patient experiences periodic fever, chills, sweating, headache, and body aches., fatigue",can result from lifestyle factors or underlying health conditions,consult a doctor if symptoms persist or worsen,consult a healthcare professional for diagnosis and treatment
Arthritis,"Patient reports joint pain, stiffness, swelling, and difficulty moving the joints., blurred vision","often linked to immune response, infection, or chronic inflammation",seek medical attention if symptoms become severe,"maintain hydration, rest, and follow medical advice"
